Id,FiscalYear,FiscalPeriod,Month,InformationDate,Branch,Service,SscClient,MetricName,Value,MetricType
6439,2017-2018,12,"March ",3/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
6440,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6441,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6442,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),266,Non Cumulative
6443,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6444,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6445,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),1250,Non Cumulative
6446,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),154,Non Cumulative
6447,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
6448,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6449,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6450,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),999,Non Cumulative
6451,2018-2019,1,April,4/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
6452,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6453,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6454,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),252,Non Cumulative
6455,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6456,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6457,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),1250,Non Cumulative
6458,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),146,Non Cumulative
6459,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
6460,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6461,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6462,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),966,Non Cumulative
6463,2018-2019,2,May,5/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
6464,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6465,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6466,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),289,Non Cumulative
6467,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6468,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6469,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),1250,Non Cumulative
6470,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),145,Non Cumulative
6471,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
6472,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6473,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6474,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),967,Non Cumulative
6475,2018-2019,3,June,6/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
